"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2021","13,470.99","13,616.19","13,616.58","13,463.26","786.55M","-0.48%"
"May 20, 2021","13,535.74","13,356.63","13,563.52","13,355.71","810.41M","1.77%"
"May 19, 2021","13,299.74","13,078.19","13,304.61","13,072.23","879.28M","-0.03%"
"May 18, 2021","13,303.64","13,416.90","13,485.34","13,299.92","852.73M","-0.56%"
"May 17, 2021","13,379.05","13,368.80","13,399.17","13,265.40","799.86M","-0.38%"
"May 14, 2021","13,429.98","13,255.64","13,460.88","13,242.97","854.90M","2.32%"
"May 13, 2021","13,124.99","13,150.94","13,247.87","13,007.24","986.84M","0.72%"
"May 12, 2021","13,031.68","13,215.49","13,288.61","13,002.54","985.26M","-2.67%"
"May 11, 2021","13,389.43","13,115.85","13,423.31","13,107.67","983.05M","-0.09%"
"May 10, 2021","13,401.86","13,687.59","13,687.93","13,401.75","1.02B","-2.55%"
"May 07, 2021","13,752.24","13,723.09","13,828.62","13,690.75","873.19M","0.88%"
"May 06, 2021","13,632.84","13,557.83","13,635.74","13,439.39","1.04B","0.37%"
"May 05, 2021","13,582.42","13,731.13","13,753.05","13,553.93","909.08M","-0.37%"
"May 04, 2021","13,633.50","13,774.51","13,795.57","13,485.59","1.09B","-1.88%"
"May 03, 2021","13,895.12","14,031.77","14,042.12","13,881.51","919.69M","-0.48%"
"Apr 30, 2021","13,962.68","13,970.73","14,084.76","13,941.63","1.02B","-0.85%"
"Apr 29, 2021","14,082.55","14,204.51","14,211.57","13,952.80","994.15M","0.22%"
"Apr 28, 2021","14,051.03","14,082.78","14,133.65","14,034.70","861.23M","-0.28%"
"Apr 27, 2021","14,090.22","14,170.91","14,171.24","14,064.28","871.20M","-0.34%"
"Apr 26, 2021","14,138.78","14,052.38","14,154.03","14,019.50","867.75M","0.87%"
"Apr 23, 2021","14,016.81","13,861.37","14,062.74","13,856.83","843.30M","1.44%"
"Apr 22, 2021","13,818.41","13,952.57","14,015.87","13,771.04","871.28M","-0.94%"
"Apr 21, 2021","13,950.22","13,745.77","13,951.35","13,706.86","819.76M","1.19%"
"Apr 20, 2021","13,786.27","13,894.46","13,927.67","13,698.67","875.27M","-0.92%"
"Apr 19, 2021","13,914.76","13,984.58","14,041.79","13,842.57","907.06M","-0.98%"
"Apr 16, 2021","14,052.34","14,059.11","14,062.50","13,977.05","962.78M","0.10%"
"Apr 15, 2021","14,038.76","13,983.23","14,049.13","13,970.42","867.56M","1.31%"
"Apr 14, 2021","13,857.84","14,004.08","14,033.63","13,839.04","812.85M","-0.99%"
"Apr 13, 2021","13,996.10","13,902.45","14,011.51","13,902.45","839.45M","1.05%"
"Apr 12, 2021","13,850.00","13,854.44","13,877.00","13,783.95","894.01M","-0.36%"
"Apr 09, 2021","13,900.18","13,787.01","13,905.41","13,748.35","785.76M","0.51%"
"Apr 08, 2021","13,829.31","13,796.89","13,830.14","13,758.71","870.92M","1.03%"
"Apr 07, 2021","13,688.84","13,675.30","13,733.03","13,653.58","819.48M","-0.07%"
"Apr 06, 2021","13,698.38","13,681.67","13,776.71","13,674.28","870.63M","-0.05%"
"Apr 05, 2021","13,705.59","13,594.90","13,720.58","13,582.75","916.61M","1.67%"
